Drug_Name,norm,PubChem_ID
2-[1-methyl-5-(4-methylbenzoyl)pyrrol-2-yl]acetate,2-[1-methyl-5-(4-methylbenzoyl)pyrrol-2-yl],5508
4-oxo-3-(3-oxo-1-phenylbutyl)chromen-2-olate,4-oxo-3-(3-oxo-1-phenylbutyl)chromen-2-olate,23690541
"4r,6r-dorzolamide","4r,6r-dorzolamide",92087
"5-tert-butyl-2-methyl-1,3-benzodioxole","5-tert-butyl-2-methyl-1,3-benzodioxole",135113
Sodium;oxido(oxo)azanium,;oxido(oxo)azanium,4517618
Abacavir succinate,abacavir succinate,9822500
Abarelix,abarelix,16131215
Abrocitinib,abrocitinib,Not Available
Acalabrutinib,acalabrutinib,71226662
Acamprosate,acamprosate,71158
Acarbose,acarbose,444254
Acetaminophen,acetaminophen,1983
Acetohydroxamic acid,acetohydroxamic acid,1990
Acetyl sulfisoxazole,acetyl sulfisoxazole,6662
Acetylcholine chloride,acetylcholine chloride,6060
Acetylcysteine,acetylcysteine,12035
Acetylsalicylic acid,acetylsalicylic acid,2244
Acipimox,acipimox,5310993
Aclidinium,aclidinium,11434515
Aclidinium bromide,aclidinium bromide,11519741
Activated charcoal,activated charcoal,5462310
Adapalene,adapalene,60164
Adefovir dipivoxil,adefovir dipivoxil,60871
Agalsidase beta,agalsidase beta,52918379
Agomelatine,agomelatine,82148
Airduo respiclick,airduo respiclick,56841124
Albendazole,albendazole,2082
Albiglutide,albiglutide,145994868
Albumin (human),albumin (human),Not Available
Albumin microspheres (human),albumin microspheres (human),Not Available
Albuterol,albuterol,2083
Alcaftadine,alcaftadine,19371515
Aldesleukin,aldesleukin,Not Available
Alendronate sodium,alendronate,6331783
Alendronic acid,alendronic acid,2088
Alfacalcidol,alfacalcidol,5282181
Alfentanil,alfentanil,51263
Alfuzosin,alfuzosin,2092
Alglucosidase alfa,alglucosidase alfa,Not Available
Alirocumab,alirocumab,Not Available
Aliskiren hemifumarate,aliskiren hemifumarate,6918427
Alitretinoin,alitretinoin,449171
Almotriptan,almotriptan,123606
Almotriptan malate,almotriptan malate,123607
Alogliptin,alogliptin,11450633
Alogliptin benzoate,alogliptin benzoate,16088021
Alomide,alomide,44563
Alosetron,alosetron,2099
Alpha-1-proteinase inhibitor (human),alpha-1-proteinase inhibitor (human),Not Available
Alprostadil,alprostadil,5280723
Alteplase,alteplase,22976653
Aluminum hydroxide,aluminum hydroxide,10176082
Ambenonium chloride,ambenonium chloride,8288
Aminocaproic acid,aminocaproic acid,564
Aminohippuric acid,aminohippuric acid,2148
Aminolevulinic acid,aminolevulinic acid,137
Aminosalicylic acid,aminosalicylic acid,4649
Amisulpride,amisulpride,2159
Amlexanox,amlexanox,2161
Amlodipine besylate,amlodipine besylate,60496
Amobarbital,amobarbital,2164
Amphetamine,amphetamine,3007
Amphotericin b,amphotericin b,14956
Amprenavir,amprenavir,65016
Amsacrine,amsacrine,2179
Anileridine,anileridine,8944
Antagon,antagon,16130965
Anti-thymocyte globulin (rabbit),anti-thymocyte globulin (rabbit),Not Available
Antihemophilic factor (recombinant),antihemophilic factor (recombinant),Not Available
Antithrombin (recombinant),antithrombin (recombinant),Not Available
Antithrombin alfa,antithrombin alfa,Not Available
Antivenin (micrurus fulvius),antivenin (micrurus fulvius),Not Available
Apomorphine,apomorphine,6005
Apraclonidine,apraclonidine,2216
Apremilast,apremilast,10151715
Aprepitant,aprepitant,135413536
Aprotinin (bovine),aprotinin (bovine),16130295
Arformoterol,arformoterol,3083544
Arformoterol tartrate,arformoterol tartrate,9827062
Argatroban,argatroban,92722
Arginine,arginine,6322
Argipressin,argipressin,644077
Aripiprazole lauroxil,aripiprazole lauroxil,49831411
Armodafinil,armodafinil,9690109
Arsenic trioxide,arsenic trioxide,14888
Asciminib,asciminib,72165228
Ascorbic acid,ascorbic acid,54670067
Asenapine,asenapine,9903970
Atazanavir,atazanavir,148192
Atomoxetine hydrochloride,atomoxetine,54840
Atorvastatin calcium propylene glycol,atorvastatin propylene glycol,51039411
Atovaquone,atovaquone,74989
Atracurium,atracurium,47319
Atracurium besylate,atracurium besylate,47320
Auranofin,auranofin,24199313
Sodium aurothiomalate,aurothiomalate,22318
Avacopan,avacopan,49841217
Avanafil,avanafil,9869929
Avapritinib,avapritinib,118023034
Avatrombopag,avatrombopag,9852519
Azelaic acid,azelaic acid,2266
Azelastine,azelastine,2267
Azilsartan,azilsartan,135415867
Azilsartan kamedoxomil,azilsartan kamedoxomil,23699544
Azilsartan medoxomil,azilsartan medoxomil,135409642
Aztreonam,aztreonam,2274
Bacillus calmette-guerin,bacillus calmette-guerin,6451
Baloxavir marboxil,baloxavir marboxil,124081896
Balsalazide disodium,balsalazide disodium,135413496
Barium sulfate,barium,24414
Barium cation,barium cation,104810
Bazedoxifene acetate,bazedoxifene,154256
Beclomethasone 17-monopropionate,beclomethasone 17-monopropionate,62965
Beclomethasone dipropionate,beclomethasone dipropionate,21700
Bedaquiline,bedaquiline,5388906
Belinostat,belinostat,6918638
Belumosudil,belumosudil,11950170
Bempedoic acid,bempedoic acid,10472693
Benazeprilat,benazeprilat,5463984
Bendroflumethiazide,bendroflumethiazide,2315
Benicar hydrochlorothiazide,benicar hydrochlorothiazide,9940864
Benzocaine,benzocaine,2337
Benzoyl peroxide,benzoyl peroxide,7187
Benztropine,benztropine,1201549
Benzydamine,benzydamine,12555
Benzylpenicilloyl g,benzylpenicilloyl g,119212
Benzylpenicilloyl polylysine,benzylpenicilloyl polylysine,45266800
Bepotastine,bepotastine,164522
Bepotastine besilate,bepotastine besilate,164521
Beractant,beractant,Not Available
Beta-d-glucose,beta-d-glucose,64689
Betaine,betaine,247
Bethanechol,bethanechol,2370
Bethanechol chloride,bethanechol chloride,11548
Betiatide,betiatide,185457
Bexarotene,bexarotene,82146
Potassium bicarbonate,bicarbonate,516893
Bicisate dihydrochloride,bicisate dihydrochloride,71586979
Biguanide,biguanide,5939
Bilastine,bilastine,185460
Bimatoprost,bimatoprost,5311027
Binimetinib,binimetinib,10288191
Bisacodyl,bisacodyl,2391
Boceprevir,boceprevir,10324367
Bosentan,bosentan,104865
Botulinum neurotoxin a/b immune globulin (human),botulinum neurotoxin a/b immune globulin (human),Not Available
Botulinum toxin type a,botulinum toxin type a,Not Available
Bretylium,bretylium,2431
Brexpiprazole,brexpiprazole,11978813
Brimonidine,brimonidine,2435
Brimonidine tartrate,brimonidine tartrate,11236066
Brinzolamide,brinzolamide,68844
Brivaracetam,brivaracetam,9837243
Bromazepam,bromazepam,2441
Bromfenac,bromfenac,60726
Bromhexine,bromhexine,2442
Bromocresol green,bromocresol green,6451
Budesonide,budesonide,5281004
Bupropion,bupropion,444
Buspirone,buspirone,2477
Butabarbital,butabarbital,2479
Butorphanol,butorphanol,5361092
Butorphanol tartrate,butorphanol tartrate,5462346
Butylscopolamine bromide,butylscopolamine bromide,656587
C1 esterase inhibitor (recombinant),c1 esterase inhibitor (recombinant),Not Available
Cabozantinib s-malate,cabozantinib s-malate,25102846
Caffeine citrate,caffeine citrate,6241
Calcifediol,calcifediol,5283731
Calcitonin,calcitonin,16220016
